customer_id,passed_funnel,city,shipping_state,shipping_zipcode,first_activity_at,attribution_channel,vendor,leadscore,q_age,q_apply,q_braces,q_budget,q_changes,q_clear_aligners,q_conditions,q_conditions1,q_conditions2,q_conditions3,q_dental_concerns,q_describe_teeth,q_finance_options,q_fsa_hsa,q_fsa_hsa_monthly,q_goals,q_happy,q_how_hear,q_hesitations,q_how_urgent,q_invisible_aligners,q_last_ortho,q_long,q_monthly,q_options_considering,q_ortho_checkup,q_referral,q_severity,q_teeth_spacing,q_urgency,q_whitening,q_why_interested,q_years_considering,q_zip,survey_started_at
272167,FALSE,Reston,VA,20190,48:02.0,organic search,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287773,TRUE,San Antonio,TX,78212,22:05.7,organic search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331950,FALSE,,,,22:17.7,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276764,FALSE,,,,27:02.1,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306414,FALSE,,,,20:36.6,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301998,TRUE,pilot hill,CA,95664,46:37.6,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302351,TRUE,Huntingtown,MD,20639-8847,17:38.4,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267624,FALSE,,,,43:51.9,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306826,FALSE,San Marcos,TX,78666,55:36.0,direct,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287240,TRUE,Newark,NJ,7112,46:30.2,paid search,google search,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321806,TRUE,Chicago,IL,60649,30:45.9,organic search,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279095,FALSE,,,,52:50.0,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319381,TRUE,Huntsville,AL,35802,52:11.3,paid search,google search,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289077,TRUE,Escondido,CA,92026,27:42.1,organic search,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280361,FALSE,,,,46:07.6,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265172,FALSE,,,,31:32.7,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269227,TRUE,Austin ,TX,78704,16:23.4,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277234,TRUE,San Jose,CA,95120,56:23.2,affiliate,shareasale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274763,FALSE,Houston,TX,77035-5224,40:20.4,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278558,TRUE,Sunnyvale,CA,94086,10:08.4,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323195,FALSE,,,,11:01.1,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309940,FALSE,,,,49:52.4,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306804,TRUE,Arlington,VA,22203,22:21.0,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331103,TRUE,Daly City,CA,94015,12:05.5,paid search,google search,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322884,FALSE,,,,31:13.0,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265383,FALSE,Houston ,TX,77042,21:11.1,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271706,FALSE,,,,09:39.7,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267855,TRUE,Brooklyn,NY,11217,55:29.2,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276615,FALSE,,,,02:15.9,referral,friendbuy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339928,TRUE,Augusta,GA,30904,03:38.3,paid search,google search,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264137,FALSE,,,,53:15.5,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277983,FALSE,,,,04:05.0,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280644,TRUE,Los Angeles,CA,90025,07:32.5,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273299,FALSE,Atlanta ,GA,30345,33:36.7,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280429,TRUE,Montgomery,AL,36109,57:16.3,direct,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326093,FALSE,San Jose,CA,95148,05:17.3,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267216,FALSE,,,,53:19.1,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267772,TRUE,San Diego,CA,92114,42:37.7,affiliate,shareasale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274544,FALSE,,,,20:59.4,podcast,veritone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
